"Year","Port","Millions of Pounds"," Millions of Dollars"
"1994","Fort Myers, FL","11.1","23.5"
"1994","Apalachicola, FL","8.3","22.4"
"1994","Cortez, FL","6.8","2.9"
"1994","Mayport, FL","6.4","13.5"
"1993","Key West, FL","20.3","35.2"
"1993","Port St. Joe, FL","15.6","5.4"
"1993","Cape Canaveral, FL","13.4","17.2"
"1993","Apalachicola, FL","12.6","7.9"
"1993","Tampa Bay-St. Petersburg, FL","12.4","19.6"
"1993","Mayport, FL","4.8","6.2"
"1992","Cape Canaveral, FL","10.8","10.4"
"1992","Key West, FL","9.4","17.4"
"1991","Key West, FL","14.1","35.1"
"1991","Fort Myers, FL","9.9","11.5"
"1991","Panama City, FL","9.7","7.8"
"1991","Cape Canaveral, FL","7.8","9.9"
"1991","Apalachicola, FL","5.8","11.6"
"1990","Panama City, FL","13.2","10.6"
"1990","Key West, FL","11.4","21.7"
"1990","Cape Canaveral, FL","8.8","13.2"
"1990","Fort Myers, FL","8.7","10.9"
"1990","Apalachicola, FL","5","7.5"
"1989","Fort Myers, FL","10.9","13.1"
"1989","Cape Canaveral, FL","10.5","15.8"
"1989","Key West, FL","9.6","17.3"
"1989","Panama City, FL","7.5","6"
"1989","Apalachicola, FL","5.8","7.8"
"1988","Cape Canaveral, FL","16.4","24.3"
"1988","Fort Myers, FL","10.2","12.7"
"1988","Key West, FL","9.2","16.8"
"1988","Panama City, FL","8.1","6.3"
"1988","Apalachicola, FL","5.4","7"
"1987","Cape Canaveral, FL","14.6","21.7"
"1987","Key West, FL","12.3","22.4"
"1987","Apalachicola, FL","10.5","13.8"
"1987","Fort Myers, FL","8.3","10.4"
"1987","Panama City, FL","8.2","6.3"
"1986","Key West, FL","15.4","27.4"
"1986","Panama City, FL","11","7.9"
"1986","Fort Myers, FL","10.4","11.5"
"1986","Apalachicola, FL","9","12.4"
"1986","Cape Canaveral, FL","8.1","15.9"
"1985","Cape Canaveral, FL","20.3","21.2"
"1985","Key West, FL","15.3","23.3"
"1985","Panama City, FL","10.9","8.5"
"1985","Apalachicola, FL","10","12.4"
"1985","Fort Myers, FL","8.7","15.4"
"1984","Cape Canaveral, FL","45.1","26.2"
"1984","Key West, FL","17.7","21.8"
"1984","Apalachicola, FL","10.8","13.2"
"1984","Fort Myers, FL","8.2","13.9"
"1983","Cape Canaveral, FL","15.4","16"
"1983","Key West, FL","11.7","18.6"
"1983","Apalachicola, FL","10.8","14.1"
"1983","Fort Myers, FL","7.3","8.6"
"1982","Fernandina Beach, FL","16.5","4.7"
"1982","Cape Canaveral, FL","12.5","12.8"
"1982","Key West, FL","10","19"
"1982","Fort Myers, FL","9.2","11.9"
"1982","Apalachicola, FL","9","10.2"
"1981","Key West, FL","18","27"
"1981","Cape Canaveral, FL","17","15.9"
"1981","Fort Myers, FL","15","18"
"1981","Apalachicola, FL","12","12.3"
