Year,Port,Millions of Pounds,State
2015,"Newington, NH",3.2,NH
2015,"Bon Secour-Gulf Shores, AL",3.2,AL
2015,"Darien-Bellville, GA",3.1,GA
2015,"Apalachicola, FL",3.1,FL
2015,"Willapa Bay, WA",2.9,WA
2015,"Port Clyde, ME",2.9,ME
2015,"Milbridge, ME",2.8,ME
2015,"Swans Island, ME",2.7,ME
2015,"Chincoteague, VA",2.7,VA
2015,"Southwest Harbor, ME",2.5,ME
2015,"Olympia, WA",2.5,WA
2015,"Bass Harbor, ME",2.5,ME
2015,"Owls Head, ME",2.3,ME
2015,"Blaine, WA",2.3,WA
2015,"Ft. Pierce-St.Lucie, FL",2.2,FL
2015,"San Diego, CA",2.1,CA
2015,"Bodega Bay, CA",2.1,CA
2015,"Tacoma, WA",1.9,WA
2015,"Sneads Ferry-Swansboro, NC",1.9,NC
2015,"Elizabeth City, NC",1.9,NC
2015,"Stonington, CT",1.7,CT
2015,"Naples, FL",1.7,FL
2015,"Savannah, GA",1.6,GA
2015,"Everett, WA",1.6,WA
2015,"Brunswick, GA",1.5,GA
2015,"La Push, WA",0.6,WA
2015,"Greenport, NY",0.2,NY
2015,"Cape Charles-Oyster, VA",0.0,VA
2015,"Barnegat Light, NJ",0.0,NJ
2014,"Dutch Harbor, AK",761.8,AK
2014,"Kodiak, AK",477.1,AK
2014,"Aleutian Islands (Other), AK",470.9,AK
2014,"Empire-Venice, LA",326.9,LA
2014,"Reedville, VA",323.9,VA
2014,"Intracoastal City, LA",300.2,LA
2014,"Pascagoula-Moss Point, MS",184.4,MS
2014,"Alaska Penninsula (Other), AK",169.7,AK
2014,"New Bedford, MA",140.0,MA
2014,"Naknek, AK",133.0,AK
2014,"Newport, OR",124.0,OR
2014,"Astoria, OR",122.3,OR
2014,"Westport, WA",100.0,WA
2014,"Sitka, AK",88.5,AK
2014,"Ketchikan, AK",86.5,AK
2014,"Cordova, AK",85.0,AK
2014,"Port Hueneme-Oxnard-Ventura, CA",74.7,CA
